,line,start,end,token,scopes,rgb,pixel_size,position
4,0,0,1,,"[""source.matlab""]","(0, 0, 0)",1,0
0,1,0,8,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,0
1,1,8,9, ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,1
2,1,9,30,"A(x, y)              ","[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,2
3,1,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,3
7,1,31,45, Main function,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,4
5,2,0,1,B,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,0
6,2,1,2,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,1
8,2,2,3,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,2
10,2,3,4,",","[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.separator.comma.matlab""]","(0, 255, 38)",1,3
12,2,4,5,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,4
9,2,5,6,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,5
11,3,0,1,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,0
13,3,1,2,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,1
14,3,2,3,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,2
15,3,3,4,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,3
16,4,0,1,,"[""source.matlab""]","(0, 0, 0)",1,0
17,5,0,3,   ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,0
19,5,3,11,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,1
18,5,11,12, ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,2
20,5,12,30,"B(x,y)            ","[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,3
22,5,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,4
21,5,31,43, Nested in A,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,5
23,6,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
25,6,3,4,C,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,1
26,6,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,2
24,6,5,6,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,3
27,6,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,4
32,7,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
28,7,3,4,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,1
29,7,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,2
30,7,5,6,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,3
31,7,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,4
33,8,0,1,,"[""source.matlab""]","(0, 0, 0)",1,0
34,9,0,6,      ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",2,0
35,9,6,14,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,2
37,9,14,15, ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,3
36,9,15,30,C(x)           ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,4
38,9,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,5
39,9,31,43, Nested in B,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,6
42,10,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
40,10,6,7,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,2
41,10,7,8,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,3
