line,start,end,token,scopes
0,0,1,,"[""source.matlab""]"
1,0,8,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]"
1,8,9, ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
1,9,30,"A(x, y)              ","[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]"
1,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]"
1,31,45, Main function,"[""source.matlab"", ""comment.line.percentage.matlab""]"
2,0,1,B,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]"
2,1,2,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]"
2,2,3,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]"
2,3,4,",","[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.separator.comma.matlab""]"
2,4,5,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]"
2,5,6,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]"
3,0,1,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]"
3,1,2,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]"
3,2,3,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]"
3,3,4,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]"
4,0,1,,"[""source.matlab""]"
5,0,3,   ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
5,3,11,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]"
5,11,12, ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
5,12,30,"B(x,y)            ","[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]"
5,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]"
5,31,43, Nested in A,"[""source.matlab"", ""comment.line.percentage.matlab""]"
6,0,3,   ,"[""source.matlab""]"
6,3,4,C,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]"
6,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]"
6,5,6,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]"
6,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]"
7,0,3,   ,"[""source.matlab""]"
7,3,4,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]"
7,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]"
7,5,6,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]"
7,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]"
8,0,1,,"[""source.matlab""]"
9,0,6,      ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
9,6,14,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]"
9,14,15, ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
9,15,30,C(x)           ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]"
9,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]"
9,31,43, Nested in B,"[""source.matlab"", ""comment.line.percentage.matlab""]"
10,0,6,      ,"[""source.matlab""]"
10,6,7,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]"
10,7,8,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]"
10,8,9,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]"
10,9,10,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]"
11,0,6,      ,"[""source.matlab""]"
11,6,9,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]"
12,0,3,   ,"[""source.matlab""]"
12,3,6,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]"
13,0,1,,"[""source.matlab""]"
14,0,3,   ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
14,3,11,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]"
14,11,12, ,"[""source.matlab"", ""meta.function-call.command.matlab""]"
14,12,30,D(x)              ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]"
14,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]"
14,31,43, Nested in A,"[""source.matlab"", ""comment.line.percentage.matlab""]"
15,0,3,   ,"[""source.matlab""]"
15,3,4,E,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]"
