line,start,end,token,scopes,color_code,pixel_size,position
1,0,8,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,0
1,9,30,"A(x, y)              ","[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,1
1,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,2
1,31,45, Main function,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,3
2,0,1,B,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,0
2,1,2,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,1
2,2,3,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,2
2,3,4,",","[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.separator.comma.matlab""]","(0, 255, 38)",1,3
2,4,5,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,4
2,5,6,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,5
3,0,1,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,0
3,1,2,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,1
3,2,3,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,2
3,3,4,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,3
5,0,3,   ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,0
5,3,11,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,1
5,12,30,"B(x,y)            ","[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,2
5,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,3
5,31,43, Nested in A,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,4
6,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
6,3,4,C,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,1
6,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,2
6,5,6,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,3
6,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,4
7,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
7,3,4,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,1
7,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,2
7,5,6,y,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,3
7,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,4
9,0,6,      ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",2,0
9,6,14,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,2
9,15,30,C(x)           ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,3
9,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,4
9,31,43, Nested in B,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,5
10,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
10,6,7,D,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,2
10,7,8,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,3
10,8,9,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,4
10,9,10,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,5
11,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
11,6,9,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,2
12,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
12,3,6,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,1
14,0,3,   ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,0
14,3,11,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,1
14,12,30,D(x)              ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,2
14,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,3
14,31,43, Nested in A,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,4
15,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
15,3,4,E,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,1
15,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,2
15,5,6,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,3
15,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,4
17,0,6,      ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",2,0
17,6,14,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,2
17,15,30,E(x)           ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,3
17,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,4
17,31,43, Nested in D,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,5
18,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
18,6,10,disp,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,2
18,10,11,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,3
18,11,12,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,4
18,12,13,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,5
19,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
19,6,9,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,2
20,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
20,3,6,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,1
21,0,3,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,0
